|W| [unimplemented_impl]: Unimplemented sceAppMgrIsNonGameProgram import called.
[05:09:33.204] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/System.Core/3.5.0.0__b77a5c561934e089/System.Core.dll (target path: app0:Media/Managed/mono/gac/System.Core/3.5.0.0__b77a5c561934e089/System.Core.dll)
[05:09:33.205] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.206] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/System.Core.dll
[05:09:33.220] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/policy.2.0.System/0.0.0.0__b77a5c561934e089/policy.2.0.System.dll
[05:09:33.221] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/policy.2.0.System/0.0.0.0__b77a5c561934e089/policy.2.0.System.dll (target path: app0:Media/Managed/mono/gac/policy.2.0.System/0.0.0.0__b77a5c561934e089/policy.2.0.System.dll)
[05:09:33.222] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.223] |E| [stat_file]: Cannot find device for path: app0/System.dll
[05:09:33.225] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.226] |E| [stat_file]: Cannot find device for path: app0/System.exe
[05:09:33.226] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.227] |E| [stat_file]: Cannot find device for path: app0/System/System.dll
[05:09:33.227] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.228] |E| [stat_file]: Cannot find device for path: app0/System/System.exe
[05:09:33.229] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.229] |E| [stat_file]: Cannot find device for path: Media/Managed/System.dll
[05:09:33.230] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.230] |E| [stat_file]: Cannot find device for path: Media/Managed/System.exe
[05:09:33.231] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.232] |E| [stat_file]: Cannot find device for path: Media/Managed/System/System.dll
[05:09:33.232] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.233] |E| [stat_file]: Cannot find device for path: Media/Managed/System/System.exe
[05:09:33.233] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.234] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/System/2.0.0.0__b77a5c561934e089/System.dll
[05:09:33.235] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/System/2.0.0.0__b77a5c561934e089/System.dll (target path: app0:Media/Managed/mono/gac/System/2.0.0.0__b77a5c561934e089/System.dll)
[05:09:33.236] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.237] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/System.dll
[05:09:33.258] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/policy.2.0.Mono.Security/0.0.0.0__0738eb9f132ed756/policy.2.0.Mono.Security.dll
[05:09:33.259] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/policy.2.0.Mono.Security/0.0.0.0__0738eb9f132ed756/policy.2.0.Mono.Security.dll (target path: app0:Media/Managed/mono/gac/policy.2.0.Mono.Security/0.0.0.0__0738eb9f132ed756/policy.2.0.Mono.Security.dll)
[05:09:33.260] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.261] |E| [stat_file]: Cannot find device for path: app0/Mono.Security.dll
[05:09:33.261] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.262] |E| [stat_file]: Cannot find device for path: app0/Mono.Security.exe
[05:09:33.262] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.263] |E| [stat_file]: Cannot find device for path: app0/Mono.Security/Mono.Security.dll
[05:09:33.264] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.264] |E| [stat_file]: Cannot find device for path: app0/Mono.Security/Mono.Security.exe
[05:09:33.265] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.265] |E| [stat_file]: Cannot find device for path: Media/Managed/Mono.Security.dll
[05:09:33.266] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.267] |E| [stat_file]: Cannot find device for path: Media/Managed/Mono.Security.exe
[05:09:33.267] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.268] |E| [stat_file]: Cannot find device for path: Media/Managed/Mono.Security/Mono.Security.dll
[05:09:33.268] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.269] |E| [stat_file]: Cannot find device for path: Media/Managed/Mono.Security/Mono.Security.exe
[05:09:33.270] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.270] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/Mono.Security/2.0.0.0__0738eb9f132ed756/Mono.Security.dll
[05:09:33.271] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/Mono.Security/2.0.0.0__0738eb9f132ed756/Mono.Security.dll (target path: app0:Media/Managed/mono/gac/Mono.Security/2.0.0.0__0738eb9f132ed756/Mono.Security.dll)
[05:09:33.277] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.277] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/Mono.Security.dll
[05:09:33.280] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/Mono.Security.dll.config
[05:09:33.280] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/Mono.Security.dll.config (target path: app0:Media/Managed/Mono.Security.dll.config)
[05:09:33.281] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.282] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/Mono.Security/Mono.Security.config
[05:09:33.283] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/Mono.Security/Mono.Security.config (target path: app0:Media/Managed/mono/assemblies/Mono.Security/Mono.Security.config)
[05:09:33.284] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.284] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/policy.2.0.System.Configuration/0.0.0.0__b03f5f7f11d50a3a/policy.2.0.System.Configuration.dll
[05:09:33.285] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/policy.2.0.System.Configuration/0.0.0.0__b03f5f7f11d50a3a/policy.2.0.System.Configuration.dll (target path: app0:Media/Managed/mono/gac/policy.2.0.System.Configuration/0.0.0.0__b03f5f7f11d50a3a/policy.2.0.System.Configuration.dll)
[05:09:33.286] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.287] |E| [stat_file]: Cannot find device for path: app0/System.Configuration.dll
[05:09:33.290] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.291] |E| [stat_file]: Cannot find device for path: app0/System.Configuration.exe
[05:09:33.291] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.292] |E| [stat_file]: Cannot find device for path: app0/System.Configuration/System.Configuration.dll
[05:09:33.292] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.293] |E| [stat_file]: Cannot find device for path: app0/System.Configuration/System.Configuration.exe
[05:09:33.293] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.294] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Configuration.dll
[05:09:33.294] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.295] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Configuration.exe
[05:09:33.296] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.296] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Configuration/System.Configuration.dll
[05:09:33.297] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.297] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Configuration/System.Configuration.exe
[05:09:33.298] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.298] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/System.Configuration/2.0.0.0__b03f5f7f11d50a3a/System.Configuration.dll
[05:09:33.299] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/System.Configuration/2.0.0.0__b03f5f7f11d50a3a/System.Configuration.dll (target path: app0:Media/Managed/mono/gac/System.Configuration/2.0.0.0__b03f5f7f11d50a3a/System.Configuration.dll)
[05:09:33.300] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.301] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/System.Configuration.dll
[05:09:33.317] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/policy.2.0.System.Xml/0.0.0.0__b77a5c561934e089/policy.2.0.System.Xml.dll
[05:09:33.320] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/policy.2.0.System.Xml/0.0.0.0__b77a5c561934e089/policy.2.0.System.Xml.dll (target path: app0:Media/Managed/mono/gac/policy.2.0.System.Xml/0.0.0.0__b77a5c561934e089/policy.2.0.System.Xml.dll)
[05:09:33.322] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.323] |E| [stat_file]: Cannot find device for path: app0/System.Xml.dll
[05:09:33.324] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.324] |E| [stat_file]: Cannot find device for path: app0/System.Xml.exe
[05:09:33.325] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.325] |E| [stat_file]: Cannot find device for path: app0/System.Xml/System.Xml.dll
[05:09:33.326] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.326] |E| [stat_file]: Cannot find device for path: app0/System.Xml/System.Xml.exe
[05:09:33.327] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.328] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Xml.dll
[05:09:33.328] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.329] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Xml.exe
[05:09:33.329] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.330] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Xml/System.Xml.dll
[05:09:33.330] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.331] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Xml/System.Xml.exe
[05:09:33.331] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.332] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/System.Xml/2.0.0.0__b77a5c561934e089/System.Xml.dll
[05:09:33.333] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/System.Xml/2.0.0.0__b77a5c561934e089/System.Xml.dll (target path: app0:Media/Managed/mono/gac/System.Xml/2.0.0.0__b77a5c561934e089/System.Xml.dll)
[05:09:33.337] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.338] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/System.Xml.dll
[05:09:33.357] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/System.Xml.dll.config
[05:09:33.357] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/System.Xml.dll.config (target path: app0:Media/Managed/System.Xml.dll.config)
[05:09:33.358] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.359] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/System.Xml/System.Xml.config
[05:09:33.359] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/System.Xml/System.Xml.config (target path: app0:Media/Managed/mono/assemblies/System.Xml/System.Xml.config)
[05:09:33.360] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.361] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/policy.2.0.System.Security/0.0.0.0__b03f5f7f11d50a3a/policy.2.0.System.Security.dll
[05:09:33.362] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/policy.2.0.System.Security/0.0.0.0__b03f5f7f11d50a3a/policy.2.0.System.Security.dll (target path: app0:Media/Managed/mono/gac/policy.2.0.System.Security/0.0.0.0__b03f5f7f11d50a3a/policy.2.0.System.Security.dll)
[05:09:33.363] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.364] |E| [stat_file]: Cannot find device for path: app0/System.Security.dll
[05:09:33.364] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.367] |E| [stat_file]: Cannot find device for path: app0/System.Security.exe
[05:09:33.367] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.368] |E| [stat_file]: Cannot find device for path: app0/System.Security/System.Security.dll
[05:09:33.368] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.369] |E| [stat_file]: Cannot find device for path: app0/System.Security/System.Security.exe
[05:09:33.369] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.370] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Security.dll
[05:09:33.371] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.371] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Security.exe
[05:09:33.372] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.372] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Security/System.Security.dll
[05:09:33.373] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.373] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Security/System.Security.exe
[05:09:33.374] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.374] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/System.Security/2.0.0.0__b03f5f7f11d50a3a/System.Security.dll
[05:09:33.375] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/System.Security/2.0.0.0__b03f5f7f11d50a3a/System.Security.dll (target path: app0:Media/Managed/mono/gac/System.Security/2.0.0.0__b03f5f7f11d50a3a/System.Security.dll)
[05:09:33.376] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.377] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/System.Security.dll
[05:09:33.379] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/System.Security.dll.config
[05:09:33.379] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/System.Security.dll.config (target path: app0:Media/Managed/System.Security.dll.config)
[05:09:33.383] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.384] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/System.Security/System.Security.config
[05:09:33.385] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/System.Security/System.Security.config (target path: app0:Media/Managed/mono/assemblies/System.Security/System.Security.config)
[05:09:33.385] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.386] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/System.Configuration.dll.config
[05:09:33.386] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/System.Configuration.dll.config (target path: app0:Media/Managed/System.Configuration.dll.config)
[05:09:33.388] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.388] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/System.Configuration/System.Configuration.config
[05:09:33.389] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/System.Configuration/System.Configuration.config (target path: app0:Media/Managed/mono/assemblies/System.Configuration/System.Configuration.config)
[05:09:33.390] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.391] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/System.dll.config
[05:09:33.391] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/System.dll.config (target path: app0:Media/Managed/System.dll.config)
[05:09:33.392] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.393] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/System/System.config
[05:09:33.393] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/System/System.config (target path: app0:Media/Managed/mono/assemblies/System/System.config)
[05:09:33.394] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.395] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/policy.2.0.Mono.Posix/0.0.0.0__0738eb9f132ed756/policy.2.0.Mono.Posix.dll
[05:09:33.400] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/policy.2.0.Mono.Posix/0.0.0.0__0738eb9f132ed756/policy.2.0.Mono.Posix.dll (target path: app0:Media/Managed/mono/gac/policy.2.0.Mono.Posix/0.0.0.0__0738eb9f132ed756/policy.2.0.Mono.Posix.dll)
[05:09:33.401] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.402] |E| [stat_file]: Cannot find device for path: app0/Mono.Posix.dll
[05:09:33.402] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.403] |E| [stat_file]: Cannot find device for path: app0/Mono.Posix.exe
[05:09:33.403] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.404] |E| [stat_file]: Cannot find device for path: app0/Mono.Posix/Mono.Posix.dll
[05:09:33.404] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.405] |E| [stat_file]: Cannot find device for path: app0/Mono.Posix/Mono.Posix.exe
[05:09:33.406] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.406] |E| [stat_file]: Cannot find device for path: Media/Managed/Mono.Posix.dll
[05:09:33.407] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.407] |E| [stat_file]: Cannot find device for path: Media/Managed/Mono.Posix.exe
[05:09:33.408] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.408] |E| [stat_file]: Cannot find device for path: Media/Managed/Mono.Posix/Mono.Posix.dll
[05:09:33.409] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.410] |E| [stat_file]: Cannot find device for path: Media/Managed/Mono.Posix/Mono.Posix.exe
[05:09:33.410] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.411] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/Mono.Posix/2.0.0.0__0738eb9f132ed756/Mono.Posix.dll
[05:09:33.415] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/Mono.Posix/2.0.0.0__0738eb9f132ed756/Mono.Posix.dll (target path: app0:Media/Managed/mono/gac/Mono.Posix/2.0.0.0__0738eb9f132ed756/Mono.Posix.dll)
[05:09:33.416] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.417] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/Mono.Posix.dll
[05:09:33.424] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/Mono.Posix.dll.config
[05:09:33.425] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/Mono.Posix.dll.config (target path: app0:Media/Managed/Mono.Posix.dll.config)
[05:09:33.426] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.426] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/Mono.Posix/Mono.Posix.config
[05:09:33.427] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/Mono.Posix/Mono.Posix.config (target path: app0:Media/Managed/mono/assemblies/Mono.Posix/Mono.Posix.config)
[05:09:33.430] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.431] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/System.Core.dll.config
[05:09:33.432] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/System.Core.dll.config (target path: app0:Media/Managed/System.Core.dll.config)
[05:09:33.433] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.433] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/System.Core/System.Core.config
[05:09:33.434] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/System.Core/System.Core.config (target path: app0:Media/Managed/mono/assemblies/System.Core/System.Core.config)
[05:09:33.435] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.435] |E| [stat_file]: Cannot find device for path: app0/HOTweenMicro.dll
[05:09:33.436] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.437] |E| [stat_file]: Cannot find device for path: app0/HOTweenMicro.exe
[05:09:33.437] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.438] |E| [stat_file]: Cannot find device for path: app0/HOTweenMicro/HOTweenMicro.dll
[05:09:33.438] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.439] |E| [stat_file]: Cannot find device for path: app0/HOTweenMicro/HOTweenMicro.exe
[05:09:33.440] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.440] |E| [stat_file]: Cannot find device for path: Media/Managed/HOTweenMicro.dll
[05:09:33.441] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.441] |E| [stat_file]: Cannot find device for path: Media/Managed/HOTweenMicro.exe
[05:09:33.442] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.445] |E| [stat_file]: Cannot find device for path: Media/Managed/HOTweenMicro/HOTweenMicro.dll
[05:09:33.446] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.447] |E| [stat_file]: Cannot find device for path: Media/Managed/HOTweenMicro/HOTweenMicro.exe
[05:09:33.447] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.448] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/HOTweenMicro.dll
[05:09:33.456] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/HOTweenMicro.dll.config
[05:09:33.456] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/HOTweenMicro.dll.config (target path: app0:Media/Managed/HOTweenMicro.dll.config)
[05:09:33.457] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.458] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/HOTweenMicro/HOTweenMicro.config
[05:09:33.460] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/HOTweenMicro/HOTweenMicro.config (target path: app0:Media/Managed/mono/assemblies/HOTweenMicro/HOTweenMicro.config)
[05:09:33.461] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.462] |E| [stat_file]: Cannot find device for path: app0/SonyVitaCommonDialog.dll
[05:09:33.462] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.463] |E| [stat_file]: Cannot find device for path: app0/SonyVitaCommonDialog.exe
[05:09:33.464] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.464] |E| [stat_file]: Cannot find device for path: app0/SonyVitaCommonDialog/SonyVitaCommonDialog.dll
[05:09:33.465] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.465] |E| [stat_file]: Cannot find device for path: app0/SonyVitaCommonDialog/SonyVitaCommonDialog.exe
[05:09:33.466] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.467] |E| [stat_file]: Cannot find device for path: Media/Managed/SonyVitaCommonDialog.dll
[05:09:33.467] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.468] |E| [stat_file]: Cannot find device for path: Media/Managed/SonyVitaCommonDialog.exe
[05:09:33.468] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.469] |E| [stat_file]: Cannot find device for path: Media/Managed/SonyVitaCommonDialog/SonyVitaCommonDialog.dll
[05:09:33.469] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.470] |E| [stat_file]: Cannot find device for path: Media/Managed/SonyVitaCommonDialog/SonyVitaCommonDialog.exe
[05:09:33.470] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.471] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/SonyVitaCommonDialog.dll
[05:09:33.485] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/SonyVitaCommonDialog.dll.config
[05:09:33.485] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/SonyVitaCommonDialog.dll.config (target path: app0:Media/Managed/SonyVitaCommonDialog.dll.config)
[05:09:33.486] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.487] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/SonyVitaCommonDialog/SonyVitaCommonDialog.config
[05:09:33.488] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/SonyVitaCommonDialog/SonyVitaCommonDialog.config (target path: app0:Media/Managed/mono/assemblies/SonyVitaCommonDialog/SonyVitaCommonDialog.config)
[05:09:33.491] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.492] |E| [stat_file]: Cannot find device for path: app0/SonyNP.dll
