T| [log_import_call]: [LLE] TID: 6   FUNC: 0xd941b90 sceSystemGestureResetTouchRecognizer at 0x800e7f28
[15:04:54.627] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP035.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP035.PNG), fd: 0x2b
[15:04:54.627] |T| [write_file]: install_trophy_context: Writing to fd: 0x2b, size: 104293
[15:04:54.627] |T| [close_file]: install_trophy_context: Closing file fd: 0x2b
[15:04:54.627] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP036.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP036.PNG), fd: 0x2c
[15:04:54.628] |T| [write_file]: install_trophy_context: Writing to fd: 0x2c, size: 104293
[15:04:54.628] |T| [close_file]: install_trophy_context: Closing file fd: 0x2c
[15:04:54.628] |T| [close_file]: create_trophy_context: Closing file fd: 0x4
[15:04:54.628] |T| [export_sceNpTrophyCreateContext]: Trophy context for NPWR11309_00 create successfuly!
[15:04:54.628] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x7449b359 sprintf at 0x800e8a98
[15:04:54.642] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_SCREEN_SHOT
[15:04:54.642] |W| [export_sceScreenShotSetParam::<lambda_1>::operator ()]: Unimplemented sceScreenShotSetParam import called.
[15:04:54.642] |W| [export_sceScreenShotDisable::<lambda_1>::operator ()]: Unimplemented sceScreenShotDisable import called.
[15:04:54.642] |W| [export_sceScreenShotSetOverlayImage::<lambda_1>::operator ()]: Unimplemented sceScreenShotSetOverlayImage import called.
[15:04:54.643] |W| [export_sceScreenShotEnable::<lambda_1>::operator ()]: Unimplemented sceScreenShotEnable import called.
[15:04:54.644] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x52f780dd mspace_memalign at 0x800e8a48
[15:04:54.647] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xfe83f2e4 vsnprintf at 0x800e8c28
[15:04:54.647] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x8aecc873 strlen at 0x800e8af8
[15:04:54.648] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x9f87712d strncpy at 0x800e8b48
[15:04:54.661] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x7205bfdb memcpy at 0x800e8a88
[15:04:54.703] |E| [export_sceSysmoduleIsLoaded::<lambda_2>::operator ()]: sceSysmoduleIsLoaded returned SCE_SYSMODULE_ERROR_UNLOADED (0x805a1001)
[15:04:54.704] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_NGS
[15:04:54.706] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_NGS
[15:04:54.706] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_NGS
[15:04:54.706] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_NGS
[15:04:54.707] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_NGS
[15:04:54.707] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_NGS
[15:04:54.707] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_NGS
[15:04:54.708] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_NGS
[15:04:54.708] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_NGS
[15:04:54.709] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_NGS
[15:04:54.709] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_NGS
[15:04:54.710] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_NGS
[15:04:54.726] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x6dea815a powf at 0x800e8c88
[15:04:54.747] |T| [log_import_call]: [LLE] TID: 68  FUNC: 0xd5bd8d5c _FLog at 0x800e8cd8
[15:04:54.757] |W| [ngs::EqualizerModule::process]: Game is using unimplemented equalizer audio module
[15:04:54.757] |W| [ngs::EnvelopeModule::process]: Game is using unimplemented envelope audio module
[15:04:54.770] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xa98e941b tanf at 0x800e8cb8
[15:04:54.773] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xa1bff606 snprintf at 0x800e8b58
[15:04:54.776] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xd5200cb strstr at 0x800e89c8
[15:04:54.779] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xe4299dcb strncmp at 0x800e8bd8
[15:04:54.783] |I| [export_sceIoOpen]: Opening file: app0:/USRDIR/vo.awb
[15:04:54.783] |T| [open_file]: sceIoOpen: Opening file app0:/USRDIR/vo.awb (ux0:/app/PCSG00933/USRDIR/vo.awb), fd: 0x2d
[15:04:54.810] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x7747f6d7 memcmp at 0x800e8aa8
[15:04:54.813] |I| [export_sceIoOpen]: Opening file: app0:/USRDIR/sc.cpk
[15:04:54.814] |T| [open_file]: sceIoOpen: Opening file app0:/USRDIR/sc.cpk (ux0:/app/PCSG00933/USRDIR/sc.cpk), fd: 0x2e
[15:04:54.817] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x1b58fa3b strcmp at 0x800e89d8
[15:04:54.821] |I| [export_sceIoOpen]: Opening file: app0:/USRDIR/addpt.cpk
[15:04:54.822] |T| [open_file]: sceIoOpen: Opening file app0:/USRDIR/addpt.cpk (ux0:/app/PCSG00933/USRDIR/addpt.cpk), fd: 0x2f
[15:04:54.825] |I| [export_sceIoOpen]: Opening file: app0:/USRDIR/snd.cpk
[15:04:54.825] |T| [open_file]: sceIoOpen: Opening file app0:/USRDIR/snd.cpk (ux0:/app/PCSG00933/USRDIR/snd.cpk), fd: 0x30
[15:04:54.828] |I| [export_sceIoOpen]: Opening file: app0:/USRDIR/bk.cpk
[15:04:54.828] |T| [open_file]: sceIoOpen: Opening file app0:/USRDIR/bk.cpk (ux0:/app/PCSG00933/USRDIR/bk.cpk), fd: 0x31
[15:04:54.832] |I| [export_sceIoOpen]: Opening file: app0:/USRDIR/bsf.cpk
[15:04:54.832] |T| [open_file]: sceIoOpen: Opening file app0:/USRDIR/bsf.cpk (ux0:/app/PCSG00933/USRDIR/bsf.cpk), fd: 0x32
[15:04:54.836] |I| [export_sceIoOpen]: Opening file: app0:/USRDIR/pt.cpk
[15:04:54.836] |T| [open_file]: sceIoOpen: Opening file app0:/USRDIR/pt.cpk (ux0:/app/PCSG00933/USRDIR/pt.cpk), fd: 0x33
[15:04:54.856] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xdf4c665a sceSystemGestureUpdatePrimitiveTouchRecognizer at 0x800e7fa8
[15:04:54.857] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xc750d3da sceSystemGestureGetPrimitiveTouchEvents at 0x800e7f98
[15:04:54.859] |W| [export_sceCommonDialogUpdate::<lambda_1>::operator ()]: Unimplemented sceCommonDialogUpdate import called.
[15:04:54.888] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x93fc85ed _FSinx at 0x800e8ca8
[15:04:54.920] |I| [export_sceIoOpen]: Opening file: app0:/USRDIR/lt.bin
[15:04:54.921] |T| [open_file]: sceIoOpen: Opening file app0:/USRDIR/lt.bin (ux0:/app/PCSG00933/USRDIR/lt.bin), fd: 0x34
[15:04:54.941] |T| [close_file]: sceIoClose: Closing file fd: 0x34
[15:04:54.986] |I| [export_sceIoOpen]: Opening file: app0:/USRDIR/pr.bin
[15:04:54.987] |T| [open_file]: sceIoOpen: Opening file app0:/USRDIR/pr.bin (ux0:/app/PCSG00933/USRDIR/pr.bin), fd: 0x35
[15:04:55.004] |T| [close_file]: sceIoClose: Closing file fd: 0x35
[15:04:55.054] |I| [export_sceIoOpen]: Opening file: app0:/USRDIR/se.awb
[15:04:55.055] |T| [open_file]: sceIoOpen: Opening file app0:/USRDIR/se.awb (ux0:/app/PCSG00933/USRDIR/se.awb), fd: 0x36
[15:04:55.070] |T| [close_file]: sceIoClose: Closing file fd: 0x36
[15:04:55.104] |W| [export_sceGxmTextureValidate::<lambda_2>::operator ()]: Unimplemented sceGxmTextureValidate import called.
[15:04:55.622] |T| [open_file]: sceAppUtilSaveDataSlotGetParam: Opening file savedata0:/SlotParam_0.bin (ux0:/user/00/savedata/PCSG00933/SlotParam_0.bin), fd: 0x37
[15:04:55.622] |T| [close_file]: sceAppUtilSaveDataSlotGetParam: Closing file fd: 0x37
[15:04:55.636] |I| [export_sceIoOpen]: Opening file: savedata0:SYSTEM.BIN
[15:04:55.637] |T| [open_file]: sceIoOpen: Opening file savedata0:SYSTEM.BIN (ux0:/user/00/savedata/PCSG00933/SYSTEM.BIN), fd: 0x38
[15:04:55.638] |T| [close_file]: sceIoClose: Closing file fd: 0x38
[15:04:55.689] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xc3367370 sceSystemGestureCreateTouchRecognizer at 0x800e7f88
[15:04:55.703] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x851fb144 sceSystemGestureUpdateTouchRecognizer at 0x800e7f58
[15:04:55.704] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x789d867c sceSystemGestureGetTouchEvents at 0x800e7f48
[15:04:55.975] |C| [renderer::vulkan::PipelineCache::retrieve_shader]: Mask not implemented in the vulkan renderer!
[15:04:55.975] |C| [renderer::vulkan::PipelineCache::retrieve_shader]: Mask not implemented in the vulkan renderer!
[15:04:55.976] |C| [renderer::vulkan::PipelineCache::retrieve_shader]: Mask not implemented in the vulkan renderer!
[15:04:55.976] |C| [renderer::vulkan::PipelineCache::retrieve_shader]: Mask not implemented in the vulkan renderer!
[15:04:56.753] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xd941b90 sceSystemGestureResetTouchRecognizer at 0x800e7f28
[15:04:56.787] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x3cdfd2a3 mspace_free at 0x800e8a28
[15:04:56.988] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x8e5a06c5 abs at 0x800e8b18
[15:05:10.004] |I| [renderer::vulkan::PipelineCache::save_pipeline_cache]: Saving pipeline cache...
[15:05:10.004] |I| [renderer::vulkan::PipelineCache::save_pipeline_cache]: Pipeline cache saved
[15:05:32.802] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x3aad41b0 srand at 0x800e8a18
[15:05:32.877] |I| [export_sceIoOpen]: Opening file: app0:/USRDIR/op.usm
[15:05:32.878] |T| [open_file]: sceIoOpen: Opening file app0:/USRDIR/op.usm (ux0:/app/PCSG00933/USRDIR/op.usm), fd: 0x39
[15:05:33.009] |E| [export_sceNgsVoiceResume::<lambda_2>::operator ()]: sceNgsVoiceResume returned SCE_NGS_ERROR_INVALID_STATE (0x804a0010)
[15:05:54.002] |I| [renderer::vulkan::PipelineCache::save_pipeline_cache]: Saving pipeline cache...
[15:05:54.002] |I| [renderer::vulkan::PipelineCache::save_pipeline_cache]: Pipeline cache saved
